OBJECTID,ZIP,ZIPCODE,COUNTY,SHAPE_Length,SHAPE_Area
3,98033,98033,33,101363.8404,256674739.9
6,98027,98027,33,255232.0651,1640576278
8,98039,98039,33,37222.72934,39346824.82
9,98040,98040,33,75519.64851,175584207.9
16,98052,98052,33,166796.7825,536057549.9
17,98053,98053,33,201103.973,774000614.9
20,98014,98014,33,227524.5269,1160183701
26,98029,98029,33,111317.1407,270983417.6
30,98024,98024,33,362554.8454,2181634333
33,98019,98019,33,312688.5782,3189847389
34,98008,98008,33,93748.36776,153801769.1
35,98101,98101,33,23619.02893,14700123
36,98102,98102,33,37488.78817,43221885.64
37,98007,98007,33,113480.5859,115790428.9
38,98006,98006,33,107698.2464,322939060.2
39,98005,98005,33,116409.3383,211364083.9
40,98004,98004,33,108762.9801,201450069.7
44,98110,98110,35,261622.8892,757413746.9
45,98112,98112,33,66321.06934,88186447.44
46,98115,98115,33,77105.17754,181355906.8
47,98116,98116,33,46123.02154,81459759.98
51,98074,98074,33,115554.6683,327749795.9
52,98075,98075,33,125889.9978,290341211.6
57,98136,98136,33,52802.88815,63195436.09
59,98056,98056,33,92795.37509,197657193.1
63,98059,98059,33,145598.0774,462241546.3
64,98164,98164,33,1115.523726,77740.24278
66,98065,98065,33,345717.4767,2404508899
68,98103,98103,33,71421.20475,144008320
69,98104,98104,33,35668.30252,21087301.98
70,98105,98105,33,77620.08429,97035433.49
71,98106,98106,33,79836.81135,148201379.4
72,98107,98107,33,52798.57882,65451064.06
73,98108,98108,33,84808.35042,215057960.1
74,98109,98109,33,40749.03911,66355768.53
75,98118,98118,33,92007.71375,170718583.2
76,98119,98119,33,58777.60889,76072243.98
77,98121,98121,33,25270.25782,12252192.61
78,98122,98122,33,49484.40428,64548182.99
80,98126,98126,33,82378.30176,96544636.6
82,98134,98134,33,64395.10685,112353592.4
83,98144,98144,33,52028.99992,92419412.77
86,98154,98154,33,1105.873027,76423.09407
90,98117,98117,33,55360.26042,107311958.7
97,98310,98310,35,53742.95418,151938879.2
98,98311,98311,35,80184.52719,305252168.5
99,98312,98312,35,309277.3136,1815260047
100,98199,98199,33,56826.4228,114534562.6
111,98337,98337,35,23679.16652,26585841.74
129,98195,98195,33,23454.89846,21701390.28
141,98314,98314,35,47284.47829,17243415.66
142,98315,98315,35,89492.01543,305686875.3
146,98383,98383,35,143446.4405,466266249.7
168,98366,98366,35,183219.0651,660949214.3
170,98367,98367,35,231810.0198,2171137808
179,98370,98370,35,369890.2915,1650709693
