Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Seattle, WA",February 2012,$320K,6.7%,-5.9%,495,11.7%,14.6%,779,21.3%,-11.5%,"1,928",-4.8%,-33.9%,62,2,-12,97.2%,0.3%,0.8%
,March 2012,$350K,9.4%,0.0%,670,35.4%,0.8%,998,28.1%,-5.9%,"1,930",0.1%,-34.7%,40,-22,-26,98.1%,0.9%,1.3%
,April 2012,$379K,8.3%,7.2%,778,16.1%,14.1%,"1,037",3.9%,-7.9%,"1,944",0.7%,-36.9%,30,-10,-13,98.5%,0.4%,1.2%
,May 2012,$380K,0.3%,9.4%,890,14.4%,28.6%,"1,077",3.9%,4.9%,"1,952",0.4%,-36.7%,19,-11,-15,99.2%,0.7%,1.9%
,June 2012,$380K,0.0%,8.1%,927,4.2%,13.6%,"1,014",-5.8%,-6.2%,"1,969",0.9%,-38.4%,17,-2,-20,99.3%,0.1%,2.0%
,July 2012,$375K,-1.3%,7.1%,834,-10.0%,26.2%,904,-10.8%,1.8%,"1,942",-1.4%,-37.2%,20,3,-13,99.2%,0.0%,1.8%
,August 2012,$360K,-4.0%,4.3%,871,4.4%,20.5%,860,-4.9%,-1.0%,"1,862",-4.1%,-38.2%,22,2,-16,99.2%,0.0%,2.0%
,September 2012,$368K,2.2%,5.1%,703,-19.3%,9.7%,"1,024",19.1%,12.5%,"1,956",5.0%,-34.0%,17,-5,-26,99.2%,0.0%,1.9%
,October 2012,$369K,0.3%,9.7%,831,18.2%,38.3%,789,-22.9%,10.5%,"1,705",-12.8%,-37.0%,20,3,-28,99.3%,0.1%,1.6%
,November 2012,$386K,4.5%,26.4%,759,-8.7%,30.9%,556,-29.5%,-5.0%,"1,465",-14.1%,-39.1%,23,3,-22,99.1%,-0.2%,1.5%
,December 2012,$364K,-5.6%,12.9%,694,-8.6%,11.6%,343,-38.3%,-11.1%,"1,266",-13.6%,-40.0%,31,8,-23,98.6%,-0.5%,1.4%
,January 2013,$350K,-3.8%,16.7%,519,-25.2%,17.2%,719,109.6%,12.0%,"1,199",-5.3%,-40.8%,38,7,-22,98.8%,0.2%,1.9%
,February 2013,$365K,4.3%,14.1%,553,6.6%,11.7%,903,25.6%,15.9%,"1,253",4.5%,-35.0%,25,-13,-37,100.0%,1.2%,2.8%
,March 2013,$399K,9.3%,14.0%,816,47.6%,21.8%,"1,093",21.0%,9.5%,"1,264",0.9%,-34.5%,13,-12,-27,100.2%,0.2%,2.1%
,April 2013,$390K,-2.3%,2.9%,937,14.8%,20.4%,"1,221",11.7%,17.7%,"1,367",8.1%,-29.7%,9,-4,-21,100.9%,0.6%,2.4%
,May 2013,$405K,3.8%,6.6%,"1,118",19.3%,25.6%,"1,418",16.1%,31.7%,"1,629",19.2%,-16.5%,8,-1,-11,101.2%,0.4%,2.0%
,June 2013,$410K,1.2%,7.9%,"1,013",-9.4%,9.3%,"1,382",-2.5%,36.3%,"1,789",9.8%,-9.1%,8,0,-9,101.3%,0.1%,2.1%
,July 2013,$429K,4.6%,14.4%,"1,139",12.4%,36.6%,"1,223",-11.5%,35.3%,"1,851",3.5%,-4.7%,9,1,-11,101.4%,0.0%,2.2%
,August 2013,$415K,-3.3%,15.3%,"1,095",-3.9%,25.7%,"1,163",-4.9%,35.2%,"1,946",5.1%,4.5%,12,3,-10,100.7%,-0.7%,1.5%
,September 2013,$417K,0.5%,13.3%,873,-20.3%,24.2%,"1,156",-0.6%,12.9%,"1,983",1.9%,1.4%,15,3,-2,100.0%,-0.7%,0.8%
,October 2013,$420K,0.7%,13.8%,987,13.1%,18.8%,964,-16.6%,22.2%,"1,826",-7.9%,7.1%,14,-1,-6,100.0%,0.0%,0.7%
,November 2013,$408K,-3.0%,5.7%,755,-23.5%,-0.5%,594,-38.4%,6.8%,"1,486",-18.6%,1.4%,17,3,-6,99.4%,-0.7%,0.3%
,December 2013,$409K,0.4%,12.4%,733,-2.9%,5.6%,364,-38.7%,6.1%,"1,241",-16.5%,-2.0%,27,10,-4,99.2%,-0.2%,0.6%
,January 2014,$410K,0.2%,17.1%,546,-25.5%,5.2%,806,121.4%,12.1%,"1,222",-1.5%,1.9%,36,9,-2,99.0%,-0.2%,0.2%
,February 2014,$415K,1.2%,13.7%,620,13.6%,12.1%,827,2.6%,-8.4%,"1,200",-1.8%,-4.2%,19,-17,-6,100.4%,1.4%,0.4%
,March 2014,$406K,-2.2%,1.7%,829,33.7%,1.6%,"1,074",29.9%,-1.7%,"1,224",2.0%,-3.2%,13,-6,0,100.8%,0.4%,0.5%
,April 2014,$417K,2.7%,6.9%,960,15.8%,2.5%,"1,213",12.9%,-0.7%,"1,301",6.3%,-4.8%,9,-4,0,101.5%,0.8%,0.7%
,May 2014,$440K,5.6%,8.6%,"1,024",6.7%,-8.4%,"1,404",15.7%,-1.0%,"1,464",12.5%,-10.1%,8,-1,0,101.4%,-0.1%,0.2%
,June 2014,$450K,2.3%,9.8%,"1,064",3.9%,5.0%,"1,274",-9.3%,-7.8%,"1,563",6.8%,-12.6%,8,0,0,101.5%,0.1%,0.2%
,July 2014,$455K,1.1%,6.1%,"1,047",-1.6%,-8.1%,"1,224",-3.9%,0.1%,"1,721",10.1%,-7.0%,9,1,0,100.9%,-0.7%,-0.5%
,August 2014,$418K,-8.1%,0.7%,995,-5.0%,-9.1%,994,-18.8%,-14.5%,"1,630",-5.3%,-16.2%,12,3,0,100.5%,-0.3%,-0.2%
,September 2014,$450K,7.7%,7.9%,932,-6.3%,6.8%,"1,172",17.9%,1.4%,"1,703",4.5%,-14.1%,14,2,-1,100.2%,-0.4%,0.1%
,October 2014,$450K,0.0%,7.2%,"1,012",8.6%,2.5%,977,-16.6%,1.3%,"1,538",-9.7%,-15.8%,15,1,1,100.0%,-0.1%,0.0%
,November 2014,$439K,-2.5%,7.6%,793,-21.6%,5.0%,588,-39.8%,-1.0%,"1,250",-18.7%,-15.9%,20,5,3,99.7%,-0.4%,0.3%
,December 2014,$440K,0.3%,7.6%,812,2.4%,10.8%,370,-37.1%,1.6%,981,-21.5%,-21.0%,23,3,-4,99.5%,-0.1%,0.3%
,January 2015,$460K,4.4%,12.1%,512,-36.9%,-6.2%,751,103.0%,-6.8%,924,-5.8%,-24.4%,26,3,-10,100.1%,0.6%,1.1%
,February 2015,$440K,-4.2%,6.0%,620,21.1%,0.0%,861,14.6%,4.1%,942,1.9%,-21.5%,14,-12,-5,100.7%,0.6%,0.3%
,March 2015,$455K,3.4%,12.1%,872,40.6%,5.2%,"1,247",44.8%,16.1%,"1,027",9.0%,-16.1%,8,-6,-5,102.4%,1.7%,1.6%
,April 2015,$490K,7.7%,17.6%,"1,068",22.5%,11.3%,"1,395",11.9%,15.0%,"1,025",-0.2%,-21.2%,7,-1,-2,103.5%,1.1%,1.9%
